Codice;Descrizione;Listino
FDA-001;LEONARDO VASCA SINGOLA VUOTA;1000
FDA-002;LEONARDO 2 VASCHE;5380
FDA-0028;RUOTE TITANO;0
FDA-0029;PIEDINO LIVELLATORE H60 COMPRENSIVO DI VITE;0
FDA-003;LEONARDO 3 VASCHE;7820
FDA-0038;ESPOSITORE ZEN USATO;0
FDA-004;LEONARDO 4 VASCHE;8980
FDA-0041;ESPOSITORE LEO 4 VASCHE CON PELLICOLA  USATO;0
FDA-0046;GRIGLIA ESAGONALE PST COMPLETA DI TUBI PORTAFIORI;250
FDA-0048;ESPOSITORE MODELLO LEONARDO USATO 3 VASCHE;0
FDA-005;VASCA LEO CON PILETTA L2;120
FDA-006;VASCA LEO95 CON ALIMENTAZIONE;1300
FDA-007;VASCA LEO H 85;1300
FDA-0070;PANNELLO LAMIERA ZINCATA 10/10 343X343 8 FORI;0
FDA-008;VASCAH55 CON PILETTA;1300
FDA-009;VASCA H 65;1300
FDA-010;VASCA H 75;1300
FDA-011;ESPOSITORE TITANO USATO;0
FDA-012;VASCA IN POLIETILENE PER TITANO;0
FDA-013;TITANO ROVINATI SDT;1500
FDA-014;ESPOSITORE REFIGERATO MODELLO TITANO;8940
FDA-015;TITANO IN VISIONE;8372
FDA-016;VASCA LEO SENZA BECCO;0
FDA-017;VASC CON BECCO;0
FDA-018;GONNA  ESAGONALE ABS H 550;0
FDA-019;GONNA  ESAGONALE ABS H 550 H 65;0
FDA-020;GONNA  ESAGONALE ABS H 550 H 75;0
FDA-021;GONNA  ESAGONALE ABS H 550 H 85;0
FDA-022;GONNA  ESAGONALE ABS H 550 H 95;0
FDA-023;GRIGLIA ESAGONALE SEMILAVORATA;0
FDA-024;CHILLER 2 MOD LEO;1800
FDA-025;CHILLER 1 MOD TITANO;1800
FDA-026;CHILLER 3 ZEN;1800
FDA-027;BOX ELMAC 4.0 COMPLETO;0
FDA-029;BASAMENTO ESAGONALE IN LAMIERA ZINCATA LEONARDO;0
FDA-030;SINGAPORE PROTEZIONE ANTIGOCCIA 70 MM;25
FDA-031;SINGAPORE PROTEZIONE ANTIGOCCIA 140 MM;35
FDA-032;TERMOSTATO RC31 230 V;82
FDA-033;TUBO ESTRUSO RESINA 100/96;13
FDA-034;TUBO ESTRUSO RESINA 80/76;12
FDA-035;SONDAPTC 5X20 1.5 MT;25
FDA-036;KIT FILTRO LEONARDO;50
FDA-037;KIT FILTRO TITANO;50
FDA-038;KITFILTRO ZEN;50
FDA-039;LASTRA SPUGNA AZZURRA;50
FDA-040;DETERGENTE X MOTORE FLORANET LT 5;60
FDA-041;DETERGENTE X MOTORE FLORANET LT 10;120
FDA-042;POMPA DI CIRCOLAZIONE GRE;115
FDA-043;POMPA DI CIRCOLAZIONE NEW JET1700L;88
FDA-044;ELETTROPOMPA ADDESCANTE TELLARINI;140
FDA-045;LEONARDO 5 VASCHE;9849
FDA-046;MATERIALI PROMOZIONALI PER FIERE E MANIFESTAZIONI;0
FDA-047;FLANGIA PORTA RACCORDO;0
FDA-049;TUBO ACRILICO  100*200;5
FDA-050;TUBO ESTRUSO ACRILICO 100*300;8
FDA-051;TUBO ACRILICO 80*200;4
FDA-052;TUBO ACRILICO 80*300;7
FDA-053;VASCA 850 CON PILETTA NO BECCO;0
FDA-054;FILTRO ESAGONALE IN SPUGNA X MOD. LEO;12
FDA-055;RACCORDI OTTONE E PLASTICA A CORPO X MOD. LEO;0
FDA-056;MATERIALE DI CONSUMO X MOD. LEO;0
FDA-057;ADESIVO PANNELLO ISPEZIONE;0
FDA-058;GUSCIO PROTEZIONE WATERPROOF IP44 X SPINA/PRESA;0
FDA-059;GRIGLIA H 180 PORTAFIORI  POLIETILENE MOD TITANO;0
FDA-060;GRIGLIA H 240 PORTAFIORI  POLIETILENE MOD TITANO;0
FDA-061;GRIGLIA H 280 PORTAFIORI  POLIETILENE MOD TITANO;0
FDA-062;MATERIALE DI CONSUMO PER TITANO;0
FDA-063;CANDELA TITANO MIS.MEDIA 24,6;0
FDA-064;KIT PRIGIONIERI TITANO PVC;120
FDA-065;PRIGIONIERO PVC PER TITANO;10
FDA-066;MANODOPERA SPECIALIZZATA;40
FDA-067;INTERVENTO TECNICO INCLUSIVO MATERIALI A CORPO;0
FDA-068;VERNICIATURA PERSONALIZZATA;250
FDA-069;PELLICOLA ADESIVA PERSONALIZZATA;250
FDA-071;FATTURA REBATE PROMO SPRING25 - DA PAGARE;0
FDA-072;QUARZO ROSA, AMORE E ARMONIA / ROSA ROSA;39
FDA-073;UNACHITE, CRESCITA E GUARIGIONE EMOTIVA / ROSA ARANCIO;39
FDA-074;AULITE BIANCA, CALMA E CONSAPEVOLEZZA;39
FDA-075;OCCHIO DI TIGRE, FORZA E PROTEZIONE / ROSA GIALLA;39
FDA-076;CORNIOLA, CREATIVITA’ E MOTIVAZIONE / ROSA BIANCA;39
FDA-078;AMETISTA, PROTEZIONE E SPIRITUALITA’ / ROSA;39
FDA-079;SODALITE, SAGGEZZA ED INTUIZIONE / ROSA BLU;39
FDA-080;DIASPRO ROSSO, STABILTA’ E VITALITA’ / ROSA CREMA;39
FDA-081;QUARZO IALINO, CHIAREZZA E GUARIGIONE/ ROSA;39
FDA-082;SPESE IMBALLAGGI, TRASPORTO E ISTALLAZIONE;0
FDA-083;SET COMPLETO 10 PZ. GEMME FLOREALI;390
FDA-084;TONDINO NERO PVC DA 16;0
FDA-085;TUBO RIGIDO PVC 20MM;0
FDA-086;NIPPLES RIDOTTO PVC/PPL 1/2 * 3/4;0
FDA-087;RACCORDO DRITTO PVC/PPL A INCOLLAGGIO 3/4 * 20;0
FDA-088;GOMITO INCOLLAGGIO PVC/PPL FEMMINA 1/2*20;0
FDA-089;SCHIMATURA GONNA H 0.950 CON VASCA CON BECCO E ALIMENTAZIONE;0
FDA-090;SCHIMATURA GONNA H 0.750 CON VASCA CON BECCO;0
FDA-091;SCHIUMATURA VASCA H 0.55 CON VASCA SENZA BECCO E PILETTA IN OTTE;0
FDA-092;ESPOSITORE MODELLO LEONARDO 3 VASCHE PERSONALIZZATO;0
FDA-094;ACCONTO RICEVUTO SU PROSSIMA FORNITURA;0
FDA-095;NIDO UOVO D'OCA 10CM 330-96-07;3
